id,poor_prompt
66,need ppt for Django Framework
67,prepare presentation on Food Delivery Apps but focus on future
68,make ppt on E-commerce
69,create ppt on Digital Marketing focus on applications
70,prepare presentation on Global warming mainly business side
71,Blockchain presentation
72,ppt on Social Media for college presentation
73,ppt on Artificial Intelligence focus on Nepal context
74,make ppt on Climate Change
75,presentation on Blockchain
76,Food Delivery Apps presentation
77,slides about Digital Marketing
78,Data Science presentation focus more on advantages
79,can you make ppt on Data Science mainly for students
80,create ppt on Robotics for beginners
81,ppt on Cybersecurity focus more on advantages
82,need ppt for IoT focus on recent trends
83,IoT
84,make ppt on IoT
85,Climate Change
86,create powerpoint about Mental Health but focus on future
87,make slides for Robotics with statistics
88,presentation on Climate Change
89,create powerpoint about Mental Health
90,create ppt on Mental Health
91,make slides for Renewable Energy focus on applications
92,can you make ppt on Robotics with more images
93,prepare presentation on Artificial Intelligence focus on disadvantages
94,presentation on Artificial Intelligence
95,ppt on Climate Change mainly for students
96,slides about Machine Learning
97,make slides for Global warming but focus on future
98,slides about Machine Learning
99,need ppt for Mental Health focus on disadvantages
100,prepare presentation on Data Science for beginners
101,create powerpoint about Artificial Intelligence focus on disadvantages
102,Food Delivery Apps presentation focus on Nepal context
103,create ppt on Mental Health
104,make ppt on E-commerce short and simple
105,create ppt on Django Framework
106,presentation on Global warming focus more on advantages
107,slides about Data Science
108,Food Delivery Apps
109,Mental Health presentation keep it simple
110,make slides for Data Science
111,Blockchain presentation
112,create powerpoint about Space Exploration but focus on future
113,presentation on Digital Marketing short and simple
114,ppt on Django Framework keep it simple
115,make ppt on Cybersecurity
116,ppt on Social Media focus on applications
117,prepare presentation on Tourism in Nepal with statistics
118,make slides for Cybersecurity
119,create ppt on Renewable Energy focus on disadvantages
120,prepare presentation on Machine Learning
121,slides about Cloud Computing
122,create powerpoint about Cybersecurity focus on Nepal context
123,Digital Marketing mainly business side
124,prepare presentation on Robotics keep it simple
125,need ppt for Artificial Intelligence focus on applications
126,slides about Climate Change short and simple
127,E-commerce
128,Data Science short and simple
129,presentation on Mental Health but focus on future
130,can you make ppt on Digital Marketing
131,Social Media presentation
132,presentation on Renewable Energy for beginners
133,Python Programming presentation
134,can you make ppt on Food Delivery Apps
135,Blockchain
136,presentation on Blockchain
137,prepare presentation on Digital Marketing
138,create powerpoint about Climate Change but focus on future
139,Social Media presentation keep it simple
140,create powerpoint about Python Programming focus on disadvantages
141,Food Delivery Apps for beginners
142,can you make ppt on Social Media with statistics
143,make ppt on IoT
144,can you make ppt on Climate Change for college presentation
145,slides about Renewable Energy less text more visuals
146,create powerpoint about Digital Marketing with statistics
147,make slides for Tourism in Nepal with statistics
148,presentation on Social Media focus more on advantages
149,presentation on Digital Marketing
150,need ppt for E-commerce keep it simple
151,Machine Learning
152,Django Framework with more images
153,Mental Health
154,create powerpoint about Social Media but focus on future
155,slides about Global warming with more images
156,Climate Change
157,create ppt on Blockchain mainly business side
158,create powerpoint about Robotics
159,create powerpoint about IoT less text more visuals
160,can you make ppt on E-commerce focus on Nepal context
161,prepare presentation on Space Exploration for beginners
162,Machine Learning mainly business side
163,prepare presentation on Food Delivery Apps
164,presentation on Tourism in Nepal focus on applications
165,create ppt on Mental Health focus on recent trends
166,can you make ppt on Mental Health for college presentation
167,Digital Marketing presentation
168,ppt on Mental Health
169,create ppt on Food Delivery Apps keep it simple
170,can you make ppt on Renewable Energy
171,can you make ppt on Artificial Intelligence focus on Nepal context
172,Mental Health
173,make ppt on E-commerce
174,can you make ppt on Cloud Computing for beginners
175,Cybersecurity
176,make slides for Cybersecurity
177,slides about Python Programming focus on applications
178,make slides for Cloud Computing keep it simple
179,Digital Marketing presentation with statistics
180,create powerpoint about Django Framework focus on disadvantages
181,ppt on Digital Marketing
182,create ppt on E-commerce for beginners
183,make ppt on Global warming mainly for students
184,can you make ppt on Climate Change but focus on future
185,make slides for Machine Learning focus more on advantages
186,prepare presentation on Space Exploration
187,Cloud Computing presentation for college presentation
188,slides about Digital Marketing focus on Nepal context
189,slides about Digital Marketing
190,prepare presentation on Global warming short and simple
191,create ppt on Machine Learning
192,make ppt on Climate Change focus on applications
193,create powerpoint about Renewable Energy
194,ppt on Renewable Energy focus on recent trends
195,need ppt for Robotics
196,need ppt for Machine Learning
197,can you make ppt on Mental Health
198,can you make ppt on Cybersecurity keep it simple
199,slides about Space Exploration keep it simple
200,can you make ppt on Climate Change
201,make ppt on Robotics
202,create powerpoint about Tourism in Nepal
203,ppt on IoT
204,can you make ppt on Space Exploration
205,create powerpoint about Robotics
206,ppt on Cloud Computing for beginners
207,make slides for Food Delivery Apps
208,create powerpoint about Blockchain focus on disadvantages
209,need ppt for Food Delivery Apps mainly business side
210,IoT presentation for college presentation
211,create powerpoint about Django Framework focus more on advantages
212,prepare presentation on Blockchain for college presentation
213,need ppt for Django Framework
214,ppt on Mental Health focus on disadvantages
215,create powerpoint about IoT but focus on future
216,need ppt for Machine Learning keep it simple
217,make ppt on Machine Learning focus more on advantages
218,create ppt on Social Media focus on Nepal context
219,Renewable Energy focus on disadvantages
220,prepare presentation on Python Programming
221,create ppt on Social Media
222,make slides for Cybersecurity
223,can you make ppt on Django Framework
224,slides about Social Media
225,presentation on Climate Change for college presentation
226,make slides for Tourism in Nepal with statistics
227,need ppt for Robotics
228,Cloud Computing presentation
229,make ppt on Python Programming mainly business side
230,slides about Artificial Intelligence focus more on advantages
231,create ppt on Python Programming
232,create powerpoint about Data Science keep it simple
233,can you make ppt on Renewable Energy less text more visuals
234,make slides for E-commerce keep it simple
235,create powerpoint about Python Programming for college presentation
236,Social Media presentation less text more visuals
237,Robotics presentation mainly for students
238,slides about Mental Health
239,Machine Learning focus on Nepal context
240,ppt on Machine Learning for college presentation
241,ppt on Mental Health mainly for students
242,can you make ppt on Mental Health
243,make ppt on Space Exploration
244,presentation on Tourism in Nepal
245,can you make ppt on Django Framework focus on recent trends
246,slides about Climate Change
247,Digital Marketing presentation for beginners
248,make slides for Mental Health but focus on future
249,IoT presentation short and simple
250,prepare presentation on Python Programming
251,need ppt for Cloud Computing mainly business side
252,Machine Learning
253,slides about Data Science focus on disadvantages
254,presentation on E-commerce
255,prepare presentation on Digital Marketing
256,Global warming presentation keep it simple
257,slides about Tourism in Nepal
258,presentation on Digital Marketing focus on recent trends
259,presentation on IoT keep it simple
260,can you make ppt on E-commerce with more images
261,create powerpoint about IoT focus on recent trends
262,Data Science presentation with statistics
263,ppt on E-commerce focus on recent trends
264,presentation on Global warming
265,slides about Python Programming focus on Nepal context
266,IoT presentation
267,slides about Social Media keep it simple
268,prepare presentation on Blockchain keep it simple
269,presentation on Machine Learning
270,create ppt on Tourism in Nepal focus more on advantages
271,create ppt on Machine Learning mainly for students
272,prepare presentation on Cloud Computing focus on recent trends
273,ppt on Cloud Computing focus more on advantages
274,create ppt on Social Media
275,ppt on Machine Learning mainly for students
276,presentation on Social Media short and simple
277,E-commerce mainly business side
278,ppt on Climate Change
279,make slides for Django Framework with statistics
280,slides about Cybersecurity focus on disadvantages
281,ppt on Climate Change with statistics
282,presentation on E-commerce focus more on advantages
283,slides about Python Programming
284,presentation on E-commerce
285,create powerpoint about Digital Marketing
286,can you make ppt on Artificial Intelligence
287,can you make ppt on Digital Marketing mainly business side
288,ppt on Global warming focus on applications
289,can you make ppt on IoT
290,slides about Data Science but focus on future
291,make slides for Blockchain
292,Blockchain
293,need ppt for Cybersecurity
294,slides about Machine Learning
295,make slides for Machine Learning less text more visuals
296,need ppt for Cloud Computing focus on disadvantages
297,prepare presentation on Robotics
298,slides about Data Science focus more on advantages
299,can you make ppt on Cybersecurity
300,can you make ppt on Food Delivery Apps
